Line #,Part #,2021 List Price1,Line #,Part #,2021 List Price2,Line #,Part #,2021 List Price3
392,7021B2X,207,412,7023BQCXL,231,425,7035BQCM,289.5
397,7021BFD2X,215.5,406,7023BS/M,208,424,7035BQCS,289.5
395,7021BFDL,214.5,408,7023BXL,216.5,427,7035BQCXL,289.5
394,7021BFDM,214.5,448,7023QC,161.5,417,7035BS,278
393,7021BFDS,214.5,444,7023XL,148,420,7035BXL,278
396,7021BFDXL,214.5,449,7027,152,478,7035FD2X,210.5
398,7021BFQC,270.5,451,70272X,153,479,7035FD3X,211.5
400,7021BFQC2X,271.5,452,70273X,154,476,7035FDL,209.5
401,7021BFQC3X,272.5,413,7027B,220.5,475,7035FDM,209.5
399,7021BFQCXL,270.5,414,7027BXL,220.5,474,7035FDS,209.5
402,7021BQC,220.5,450,7027XL,152,477,7035FDXL,209.5
404,7021BQC2X,222,453,7028,130,469,7035L,200
403,7021BQCXL,220.5,454,7028X/2X,131.5,468,7035M,200
391,7021BXL,206,456,7029,139.5,484,7035QC2X,212.5
438,7021FD2X,146,458,70292X,140.5,485,7035QC3X4X,213.5
439,7021FD3X,147,459,70293X,141.5,482,7035QCL,211.5
436,7021FDL,145,415,7029B,216.5,481,7035QCM,211.5
435,7021FDM,145,416,7029BXL,216.5,480,7035QCS,211.5
434,7021FDS,145,457,7029XL,139.5,483,7035QCXL,211.5
437,7021FDXL,145,455,7029XS,139.5,467,7035S,200
440,7021QC,152,465,70343X,215.5,470,7035XL,200
442,7021QC2X3X,153,462,7034L,213.5,466,7035XS,200
441,7021QCXL,152,461,7034M,213.5,471,7035XXL,201
430,7021XL,136.5,460,7034S,213.5,538,7036A,344.5
428,7021XS,136.5,463,7034XL,213.5,532,7037,349.5
443,7023,148,464,7034XX,214.5,534,70372X,350.5
445,70232X,149,472,70353XL,202,533,7037XL,349.5
446,70233X,150,473,70354XL,203,545,7038QC2X,340.5
447,70234X,151,421,7035B2X,279,543,7038QCL,339.5
542,7038QCM,339.5,139,7056L,56,207,7080B3DS,310
541,7038QCS,339.5,138,7056M,56,210,7080B3DXL,310
544,7038QCXL,339.5,137,7056S,56,202,7080B3X,301
535,7039,356,140,7056XL,56,205,7080BFDL,310
537,70392X,357,143,7060L,45,204,7080BFDM,310
536,7039XL,356,142,7060M,45,203,7080BFDS,310
548,7042L,308,141,7060S,45,206,7080BFDXL,310
547,7042M,308,144,7060XL,45,199,7080BL,298.5
546,7042S,308,247,70672D,225,198,7080BM,298.5
549,7042XL,308,248,70672DX/2X,225,197,7080BS,298.5
335,7047,354,195,70732X,100.5,200,7080BXL,298.5
336,7047BFD2X,398,196,70733X,101.5,255,7080LFD,238
